epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,903.1,0.82463,0.50031,1.26644,0.99598,0.99587,0.995,0.72203,1.01076,0.51534,1.41034,0.000575455,0.000575455,0.000575455
100,912.148,0.81466,0.49658,1.2695,0.99197,0.99579,0.995,0.73401,1.00334,0.52581,1.39407,0.000574042,0.000574042,0.000574042
101,921.183,0.84109,0.5064,1.27825,0.99401,0.99594,0.995,0.69212,1.04132,0.56082,1.42689,0.000572628,0.000572628,0.000572628
102,930.213,0.85344,0.5129,1.27528,0.99168,0.99567,0.99493,0.73212,1.012,0.5225,1.38862,0.000571214,0.000571214,0.000571214
103,938.985,0.86471,0.51054,1.28662,0.99027,0.99203,0.99486,0.72574,1.05664,0.53272,1.40111,0.000569801,0.000569801,0.000569801
104,947.787,0.78547,0.49582,1.23974,0.99549,0.9978,0.995,0.73472,0.98824,0.51417,1.38449,0.000568387,0.000568387,0.000568387
105,956.968,0.82295,0.49631,1.24427,0.99101,0.99676,0.995,0.7416,1.00372,0.52437,1.40073,0.000566973,0.000566973,0.000566973
106,966.094,0.86257,0.50951,1.26371,0.99192,0.99744,0.99488,0.72449,1.02826,0.52525,1.41261,0.000565559,0.000565559,0.000565559
107,975.195,0.81471,0.47778,1.22611,0.98537,0.99891,0.99397,0.7454,0.97432,0.51473,1.37245,0.000564146,0.000564146,0.000564146
108,984.308,0.79992,0.49303,1.2399,0.99054,0.99422,0.9949,0.74844,0.98924,0.51156,1.38867,0.000562732,0.000562732,0.000562732
109,993.106,0.82044,0.50442,1.25013,0.99257,0.99791,0.995,0.73023,1.01442,0.51516,1.39809,0.000561318,0.000561318,0.000561318
110,1002.13,0.82822,0.48678,1.24462,0.99616,0.99535,0.995,0.73425,0.98336,0.49777,1.3931,0.000559905,0.000559905,0.000559905
